job_title,company,location,experience,salary,skills,city_searched,min_experience,max_experience,skills_clean
Business Analyst - Retail Consultant,Dynatech Systems,Ahmedabad,3-6 Yrs,8-13 Lacs PA,"D365 Supply Chain Management, POS Configuration, MPOS Configuration, Promotions, Omnichannel Retail, Pricing, D365 Functional, Retail",ahmedabad,3,6,"d365 supply chain management, pos configuration, mpos configuration, promotions, omnichannel retail, pricing, d365 functional, retail"
Business Analyst,Hops Healthcare,Ahmedabad,2-5 Yrs,Not Disclosed,"project management, data analysis, data analytics, gap analysis, business analysis, uat, power bi, business analytics",ahmedabad,2,5,"project management, data analysis, data analytics, gap analysis, business analysis, uat, power bi, business analytics"
Client Data Analyst,Xcellence It,Surat,16-26 Yrs,Not Disclosed,"Online research, Data analysis, HRM, Front end, Sales, Social media, Data Analyst, Research",surat,16,26,"online research, data analysis, hrm, front end, sales, social media, data analyst, research"
Business Analyst,Empiric Infotech,Surat,3-6 Yrs,Not Disclosed,"data analytics, data analysis, gap analysis, business analysis, uat, power bi, user stories, business intelligence",surat,3,6,"data analytics, data analysis, gap analysis, business analysis, uat, power bi, user stories, business intelligence"
Data Analyst,Hashtag Infosystem,Surat,3-6 Yrs,Not Disclosed,"data analysis, data analytics, forecasting, bi, strong analytical skills, power bi, pivot table, business analysis",surat,3,6,"data analysis, data analytics, forecasting, bi, strong analytical skills, power bi, pivot table, business analysis"
Technical Business Analyst / Data Analyst,PURVIEW,Hybrid - Surat,7-12 Yrs,10-20 Lacs PA,"Business Analyst, Privilege Guard log, Cyberark, Power BI, Data Analyst, user stories, SQL, KCI",surat,7,12,"business analyst, privilege guard log, cyberark, power bi, data analyst, user stories, sql, kci"
Business Analyst,Solwin Infotech,Surat,2-7 Yrs,Not Disclosed,"competitor analysis, data analysis, data interpretation, data management, business analysis, business analyst, budgeting, business sales",surat,2,7,"competitor analysis, data analysis, data interpretation, data management, business analysis, business analyst, budgeting, business sales"
Business Analyst (Pre-Sales) Client Data Profiling,Xcellence It,Surat,5-10 Yrs,Not Disclosed,"Online research, Analytical skills, HRM, Sales, Data management, Business Analyst, Sales analysis, Social media",surat,5,10,"online research, analytical skills, hrm, sales, data management, business analyst, sales analysis, social media"
Data Analyst,Fornax,"Hybrid - Surat, Mumbai (All Areas)",2-5 Yrs,Not Disclosed,"Power BI, Data Analyst, SQL, Root Cause Analysis, Business Intelligence, Supply Chain Analytics, Tableau, FMCG",surat,2,5,"power bi, data analyst, sql, root cause analysis, business intelligence, supply chain analytics, tableau, fmcg"
Business Data Analyst,Leading Client,Surat,7-10 Yrs,Not Disclosed,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection",surat,7,10,"data analyst, visualization, data analysis, business data, power bi, visualization tools, communication and interpersonal skills, data collection"
